Overall,Name,Nation,AKA
85,Kailen Sheridan,Canada,
85,Keira Walsh,England,
85,Leah Williamson,England,
85,Manuela Zinsberger,Austria,
85,Saeed Al Owairan,Saudi Arabia,
85,Alex Scott,England,
85,Clint Dempsey,United States,
85,Tim Cahill,Australia,
85,Peter Crouch,England,
85,DaMarcus Beasley,United States,
85,Lars Ricken,Germany,
84,Thiago,Spain,
84,Ismaël Bennacer,Algeria,
84,Julian Brandt,Germany,
84,Yannick Carrasco,Belgium,
84,Koen Casteels,Belgium,
84,Federico Chiesa,Italy,
84,Thiago Silva,Brazil,
84,Rúben Neves,Portugal,
84,Rodrigo Javier De Paul,Argentina,
84,Memphis Depay,Netherlands,
84,Moussa Diaby,France,
84,Raphinha,Brazil,
84,Luis Díaz,Colombia,
84,Gabriel,Brazil,
84,Gabriel Jesus,Brazil,
84,Matthias Ginter,Germany,
84,Serge Gnabry,Germany,
84,Grimaldo,Spain,
84,Bruno Guimarães,Brazil,
84,Péter Gulácsi,Hungary,
84,Achraf Hakimi,Morocco,
84,Fabinho,Brazil,
84,Lucas Hernández,France,
84,Pierre-Emile Højbjerg,Denmark,
84,Reece James,England,
84,Kim Min Jae,Korea Republic,
84,Randal Kolo Muani,France,
84,Kalidou Koulibaly,Senegal,
84,Marcos Llorente,Spain,
84,Stanislav Lobotka,Slovakia,
84,Romelu Lukaku,Belgium,
84,James Maddison,England,
84,Gabriel Martinelli,Brazil,
84,Lisandro Martínez,Argentina,
84,Mikel Merino,Spain,
84,Thomas Müller,Germany,
84,Nick Pope,England,
84,Adrien Rabiot,France,
84,Aaron Ramsdale,England,
84,Álex Remiro,Spain,
84,Koke,Spain,
84,Luis Alberto,Spain,
84,Leroy Sané,Germany,
84,Bremer,Brazil,
84,Milan Škriniar,Slovakia,
84,Chris Smalling,England,
84,Yann Sommer,Switzerland,
84,Niklas Süle,Germany,
84,Aurélien Tchouaméni,France,
84,Fikayo Tomori,England,
84,Kyle Walker,England,
84,Ann-Katrin Berger,Germany,
84,Bella Bixby,United States,
84,Lisa Boattin,Italy,
84,Jane Campbell,United States,
84,Catarina Macario,United States,
84,Delphine Cascarino,France,
84,Sara Däbritz,Germany,
84,Linda Dallmann,Germany,
84,Paulina Dudek,Poland,
84,Crystal Dunn,United States,
84,Jess Fishlock,Wales,
84,Caitlin Foord,Australia,
84,Pernille Harder,Denmark,
84,Amanda Ilestedt,Sweden,
84,Chloe Kelly,England,
84,Aubrey Kingsbury,United States,
84,Fran Kirby,England,
84,Eugénie Le Sommer,France,
84,Amel Majri,France,
84,Lieke Martens,Netherlands,
84,Clara Mateo,France,
84,Yuki Nagasato,Japan,
84,Ashleigh Neville,England,
84,Chiamaka Nnadozie,Nigeria,
84,Trinity Rodman,United States,
84,Alessia Russo,England,
84,Desiree Scott,Canada,
84,Georgia Stanway,England,
84,Marta Torrejón,Spain,
84,Marta,Brazil,
84,Caroline Weir,Scotland,
83,Francesco Acerbi,Italy,
83,Jordi Alba,Spain,
83,Marco Asensio,Spain,
83,Wissam Ben Yedder,France,
83,Sven Botman,Netherlands,
83,Marcelo Brozović,Croatia,
83,Sergio Busquets,Spain,
83,Emre Can,Germany,
83,Andreas Christensen,Denmark,
83,Sergi Darder,Spain,
83,Alphonso Davies,Canada,
83,Ángel Di María,Argentina,
83,Edin Džeko,Bosnia and Herzegovina,
83,Christian Eriksen,Denmark,
83,Nabil Fekir,France,
83,Enzo Fernández,Argentina,
83,Nacho Fernández,Spain,
83,Rafa,Portugal,
83,Jorginho,Italy,
83,Pau Torres,Spain,
83,Jeremie Frimpong,Netherlands,
83,Cody Gakpo,Netherlands,
83,José María Giménez,Uruguay,
83,Sébastien Haller,Côte d'Ivoire,
83,Jonas Hofmann,Germany,
83,Mats Hummels,Germany,
83,Borja Iglesias,Spain,
83,Filip Kostić,Serbia,
83,Alexandre Lacazette,France,
83,Konrad Laimer,Austria,
83,Hugo Lloris,France,
83,Gianluca Mancini,Italy,
83,Alex Meret,Italy,
83,Morata,Spain,
83,Gerard Moreno,Spain,
83,Dani Olmo,Spain,
83,Willi Orban,Hungary,
83,Oyarzabal,Spain,
83,Gavi,Spain,
83,Palhinha,Portugal,
83,Benjamin Pavard,France,
83,Lorenzo Pellegrini,Italy,
83,Marco Reus,Germany,
83,Guido Rodríguez,Argentina,
83,Alessio Romagnoli,Italy,
83,William Saliba,France,
83,Patrik Schick,Czech Republic,
83,Nico Schlotterbeck,Germany,
83,Luke Shaw,England,
83,Unai Simón,Spain,
83,Raheem Sterling,England,
83,Dušan Vlahović,Serbia,
83,André-Franck Zambo Anguissa,Cameroon,
83,Piotr Zieliński,Poland,
83,Rasheedat Ajibade,Nigeria,
83,Hannah Blundell,England,
83,Barbara Bonansea,Italy,
83,Mathilde Bourdieu,France,
83,Klara Bühl,Germany,
83,Ellie Carpenter,Australia,
83,Arianna Caruso,Italy,
83,Steph Catley,Australia,
83,Erin Cuthbert,Scotland,
83,Ludmila,Brazil,
83,Sara Doorsoun,Germany,
83,Magdalena Eriksson,Sweden,
83,Adrianna Franch,United States,
83,Laura Freigang,Germany,
83,Leah Galton,England,
83,Vanessa Gilles,Canada,
83,Alex Greenwood,England,
83,Giulia Gwinn,Germany,
83,Marina Hegering,Germany,
83,Lauren James,England,
83,Dominique Janssen,Netherlands,
83,Meghan Klingenberg,United States,
83,Racheal Kundananji,Zambia,
83,Dzsenifer Marozsán,Germany,
83,Griedge Mbock,France,
83,Casey Murphy,United States,
83,Alyssa Naeher,United States,
83,Katharina Naschenweng,Austria,
83,Kelley O'Hara,United States,
83,Pauline Peyraud-Magnin,France,
83,Claudia Pina,Spain,
83,Lara Prašnikar,Slovenia,
83,Christen Press,United States,
83,Mayra Ramírez,Colombia,
83,Felicitas Rauch,Germany,
83,Martina Rosucci,Italy,
83,Sophie Schmidt,Canada,
83,Tabea Sellner,Germany,
83,Christine Sinclair,Canada,
83,Sherida Spitse,Netherlands,
83,Ella Toone,England,
83,Glódís Perla Viggósdóttir,Iceland,
83,Lia Wälti,Switzerland,
83,Lynn Williams,United States,
82,Manuel Akanji,Switzerland,
82,Robert Andrich,Germany,
82,Joelinton,Brazil,
82,Roberto Firmino,Brazil,
82,Rodrigo Bentancur,Uruguay,
82,Eduardo Camavinga,France,
82,Carvajal,Spain,
82,Ángel Correa,Argentina,
82,Ricardo Horta,Portugal,
82,Otávio,Portugal,
82,Stefan de Vrij,Netherlands,
82,Boulaye Dia,Senegal,
82,Federico Dimarco,Italy,
82,Youssef En-Nesyri,Morocco,
82,Mark Flekken,Netherlands,
82,Seko Fofana,Côte d'Ivoire,
82,Javi Galán,Spain,
82,David García,Spain,
82,Gayà,Spain,
82,Olivier Giroud,France,
82,Mario Götze,Germany,
82,Vincenzo Grifo,Italy,
82,Raphaël Guerreiro,Portugal,
82,Joško Gvardiol,Croatia,
82,Kai Havertz,Germany,
82,Mario Hermoso,Spain,
82,Franck Yannick Kessié,Côte d'Ivoire,
82,Presnel Kimpembe,France,
82,Orkun Kökçü,Turkey,
82,Mateo Kovačić,Croatia,
82,Robin Le Normand,Spain,
82,Jeremías Conan Ledesma,Argentina,
82,Thomas Lemar,France,
82,Dominik Livaković,Croatia,
82,Manuel Locatelli,Italy,
82,Anthony Lopes,Portugal,
82,Alexis Mac Allister,Argentina,
82,Donyell Malen,Netherlands,
82,Iñigo Martínez,Spain,
82,Joselu,Spain,
82,Noussair Mazraoui,Morocco,
82,Diogo Costa,Portugal,
82,Édouard Mendy,Senegal,
82,Ferland Mendy,France,
82,Nahuel Molina,Argentina,
82,João Mário,Portugal,
82,Darwin Núñez,Uruguay,
82,Loïs Openda,Belgium,
82,Nicolás Otamendi,Argentina,
82,Isi Palazón,Spain,
82,Pedro Gonçalves,Portugal,
82,Jordan Pickford,England,
82,Ivan Provedel,Italy,
82,Fernando,Brazil,
82,Cristian Romero,Argentina,
82,Jadon Sancho,England,
82,Stefan Savić,Montenegro,
82,Fabian Schär,Switzerland,
82,Dominik Szoboszlai,Hungary,
82,Dušan Tadić,Serbia,
82,Mehdi Taremi,Iran,
82,Nuno Mendes,Portugal,
82,Youri Tielemans,Belgium,
82,Lucas Torreira,Uruguay,
82,Ferran Torres,Spain,
82,Viktor Tsygankov,Ukraine,
82,Enes Ünal,Turkey,
82,Dayot Upamecano,France,
82,Guglielmo Vicario,Italy,
82,Timo Werner,Germany,
82,Callum Wilson,England,
82,Granit Xhaka,Switzerland,
82,Mattia Zaccagni,Italy,
82,Ramona Bachmann,Switzerland,
82,Sandy Baltimore,France,
82,Lineth Beerensteyn,Netherlands,
82,Nicole Billa,Austria,
82,Alana Cook,United States,
82,Ana-Maria Crnogorčević,Switzerland,
82,Kenza Dali,France,
82,Vanessa DiBernardo,United States,
82,Damaris Egurrola,Netherlands,
82,Nerea Eizagirre,Spain,
82,Jun Endo,Japan,
82,Ingrid Syrstad Engen,Norway,
82,Bethany England,England,
82,Paula Fernández,Spain,
82,Gabriela García,Venezuela,
82,Théa Gréboval,France,
82,Chantal Hagel,Germany,
82,Yui Hasegawa,Japan,
82,Ashley Hatch,United States,
82,Sofia Huerta,United States,
82,Sofia Jakobsson,Sweden,
82,Sveindís Jane Jónsdóttir,Iceland,
82,Ali Krieger,United States,
82,Katie Lind,United States,
82,Sydney Lohmann,Germany,
82,Frida Maanum,Norway,
82,Hailie Mace,United States,
82,Melvine Malard,France,
82,Perle Morroni,France,
82,Leila Ouahabi,Spain,
82,Tanja Pawollek,Poland,
82,Ève Périsset,France,
82,Carson Pickett,United States,
82,Alba Redondo,Spain,
82,Rocky Rodríguez,Costa Rica,
82,Misa,Spain,
82,Ashley Sanchez,United States,
82,Ouleymata Sarr,France,
82,Amaiur Sarriegi,Spain,
82,Olivia Schough,Sweden,
82,Caroline Seger,Sweden,
82,Linda Sembrant,Sweden,
82,Carolin Simon,Germany,
82,Emily Sonnett,United States,
82,Ángela Sosa,Spain,
82,Hina Sugita,Japan,
82,Gaëtane Thiney,France,
82,Daniëlle van de Donk,Netherlands,
82,Emily van Egmond,Australia,
82,Manuela Vanegas,Colombia,
82,Katie Zelem,England,
81,Nathan Aké,Netherlands,
81,Ali Al Musrati,Libya,
81,Raúl Albiol,Spain,
81,Toby Alderweireld,Belgium,
81,Miguel Almirón,Paraguay,
81,Edson Álvarez,Mexico,
81,Yeray,Spain,
81,Maximilian Arnold,Germany,
81,Kepa,Spain,
81,Balde,Spain,
81,Steven Berghuis,Netherlands,
81,Benjamin Bourigeaud,France,
81,Davide Calabria,Italy,
81,Etienne Capoue,France,
81,Ben Chilwell,England,
81,Samuel Chukwueze,Nigeria,
81,Jonathan Clauss,France,
81,Sebastián Coates,Uruguay,
81,Lucas Paquetá,Brazil,
81,Bryan Cristante,Italy,
81,Danilo,Brazil,
81,Arnaut Danjuma,Netherlands,
81,Rui Silva,Portugal,
81,Jonathan David,Canada,
81,Fred,Brazil,
81,Rui Patrício,Portugal,
81,Denzel Dumfries,Netherlands,
81,Lewis Dunk,England,
81,João Félix,Portugal,
81,Beto,Portugal,
81,Nicolás González,Argentina,
81,Danilo Pereira,Portugal,
81,Lukáš Hrádecký,Finland,
81,Lorenzo Insigne,Italy,
81,Alexander Isak,Sweden,
81,Daichi Kamada,Japan,
81,Simon Kjær,Denmark,
81,Ibrahima Konaté,France,
81,Geoffrey Kondogbia,Central African Republic,
81,Andrej Kramarić,Croatia,
81,Dejan Kulusevski,Sweden,
81,Gaëtan Laborde,France,
81,Bernd Leno,Germany,
81,Pepe,Portugal,
81,Giovani Lo Celso,Argentina,
81,Ademola Lookman,Nigeria,
81,Hirving Lozano,Mexico,
81,Reinildo,Mozambique,
81,Antony,Brazil,
81,Nemanja Matić,Serbia,
81,Brais Méndez,Spain,
81,Dries Mertens,Belgium,
81,Arkadiusz Milik,Poland,
81,Henrikh Mkhitaryan,Armenia,
81,Mason Mount,England,
81,Muniain,Spain,
81,Guillermo Ochoa,Mexico,
81,Felipe Anderson,Brazil,
81,Matteo Politano,Italy,
81,Pedro Porro,Spain,
81,Ivan Rakitić,Croatia,
81,Amir Rrahmani,Kosovo,
81,Fabián Ruiz,Spain,
81,Gerónimo Rulli,Argentina,
81,Allan Saint-Maximin,France,
81,Brice Samba,France,
81,Sancet,Spain,
81,Ibrahim Sangaré,Côte d'Ivoire,
81,Diego Carlos,Brazil,
81,Xaver Schlager,Austria,
81,Kasper Schmeichel,Denmark,
81,William Carvalho,Portugal,
81,Malcom,Brazil,
81,Mário Rui,Portugal,
81,Ellyes Skhiri,Tunisia,
81,Anderson Talisca,Brazil,
81,Jonathan Tah,Germany,
81,Edmond Tapsoba,Burkina Faso,
81,Martin Terrier,France,
81,Leandro Trossard,Belgium,
81,Manuel Ugarte,Uruguay,
81,Lucas Vázquez,Spain,
81,Odisseas Vlachodimos,Greece,
81,Iñaki Williams,Ghana,
81,Wilfried Zaha,Côte d'Ivoire,
81,Duván Zapata,Colombia,
81,Nataša Andonova,North Macedonia,
81,Lauren Barnes,United States,
81,Charlotte Bilbault,France,
81,Stina Blackstenius,Sweden,
81,Jule Brand,Germany,
81,Mariona,Spain,
81,Viola Calligaris,Switzerland,
81,Danielle Colaprico,United States,
81,Daphne Corboz,France,
81,Geyse,Brazil,
81,Elisa De Almeida,France,
81,Athenea,Spain,
81,Melchie Dumornay,Haiti,
81,Abby Erceg,New Zealand,
81,Emily Fox,United States,
81,Sara Gama,Italy,
81,Hanna Glas,Sweden,
81,Esther González,Spain,
81,Verena Hanshaw,Austria,
81,Rachel Hill,United States,
81,Synne Jensen,Norway,
81,Ewelina Kamczyk,Poland,
81,Lo'eau LaBonta,United States,
81,Hayley Ladd,Wales,
81,Lena Lattwein,Germany,
81,Maya Le Tissier,England,
81,Alisha Lehmann,Switzerland,
81,Sydney Leroux,United States,
81,Melanie Leupolz,Germany,
81,Tatumn Milazzo,United States,
81,Janina Minge,Germany,
81,Jordan Nobbs,England,
81,Gabi Nunes,Brazil,
81,Mayumi Pacheco,England,
81,Nikita Parris,England,
81,Midge Purce,United States,
81,Cecilia Salvai,Italy,
81,María Sánchez,Mexico,
81,Andi Sullivan,United States,
80,Tammy Abraham,England,
80,Adán,Spain,
80,Karim Adeyemi,Germany,
80,Isco,Spain,
80,Julián Álvarez,Argentina,
80,Sofyan Amrabat,Morocco,
80,Pepê,Brazil,
80,Mauro Arambarri,Uruguay,
80,Marko Arnautović,Austria,
80,Pierre-Emerick Aubameyang,Gabon,
80,Ezequiel Ávila,Argentina,
80,Edgar Badia,Spain,
80,Harvey Barnes,England,
80,Oliver Baumann,Germany,
80,Fran Beltrán,Spain,
80,Ramy Bensebaini,Algeria,
80,Álex Berenguer,Spain,
80,Cristiano Biraghi,Italy,
80,Leonardo Bonucci,Italy,
80,Claudio Bravo,Chile,
80,Emiliano Buendía,Argentina,
80,Moisés Caicedo,Ecuador,
80,Giorgio Chiellini,Italy,
80,Francis Coquelin,France,
80,Juan Cuadrado,Colombia,
80,Diogo Dalot,Portugal,
80,Kevin Danso,Austria,
80,Matteo Darmian,Italy,
80,Richarlison,Brazil,
80,De Marcos,Spain,
80,Marten de Roon,Netherlands,
80,Deulofeu,Spain,
80,Brahim,Spain,
80,Marko Dmitrović,Serbia,
80,Marcus Edwards,England,
80,Eljif Elmas,North Macedonia,
80,Aritz Elustondo,Spain,
80,Wataru Endo,Japan,
80,Pervis Estupiñán,Ecuador,
80,Suso,Spain,
80,Youssouf Fofana,France,
80,Emil Forsberg,Sweden,
80,Juan Foyth,Argentina,
80,Davide Frattesi,Italy,
80,Niclas Füllkrug,Germany,
80,Aleix García,Spain,
80,Nuno Santos,Portugal,
80,Nemanja Gudelj,Serbia,
80,Dávid Hancko,Slovakia,
80,Jordan Henderson,England,
80,Ibañez,Brazil,
80,Mauro Icardi,Argentina,
80,Joan Jordán,Spain,
80,Boubacar Kamara,France,
80,Teun Koopmeiners,Netherlands,
80,Takefusa Kubo,Japan,
80,Erik Lamela,Argentina,
80,Armand Laurienté,France,
80,Matheus,Brazil,
80,Victor Lindelöf,Sweden,
80,Pau López,Spain,
80,Vitinha,Portugal,
80,Giorgi Mamardashvili,Georgia,
80,Anthony Martial,France,
80,Arnau Martínez,Spain,
80,Adam Marušić,Montenegro,
80,Joel Matip,Cameroon,
80,Chancel Mbemba,Congo DR,
80,Facundo Medina,Argentina,
80,Arthur Cabral,Brazil,
80,Simon Mignolet,Belgium,
80,Kaoru Mitoma,Japan,
80,Álex Moreno,Spain,
80,Florentino,Portugal,
80,Hany Mukhtar,Germany,
80,Vedat Muriqi,Kosovo,
80,Fernando Muslera,Uruguay,
80,Jesús Navas,Spain,
80,David Neres,Brazil,
80,Saúl,Spain,
80,Lucas Ocampos,Argentina,
80,Jonas Omlin,Switzerland,
80,David Ospina,Colombia,
80,Exequiel Palacios,Argentina,
80,Mario Pašalić,Croatia,
80,Gonçalo Ramos,Portugal,
80,Luiz Felipe,Italy,
80,David Raya,Spain,
80,Sergi Roberto,Spain,
80,Oriol Romeu,Spain,
80,Valentin Rongier,France,
80,Marcel Sabitzer,Austria,
80,Téji Savanier,France,
80,David Soria,Spain,
80,Leonardo Spinazzola,Italy,
80,Nicolás Tagliafico,Argentina,
80,Kieran Tierney,Scotland,
80,Rafael Tolói,Italy,
80,Hamari Traoré,Mali,
80,André Silva,Portugal,
80,Carlos Vela,Mexico,
80,Jordan Veretout,France,
80,Jonathan Viera,Spain,
80,Aaron Wan-Bissaka,England,
80,Ollie Watkins,England,
80,Julian Weigl,Germany,
80,Benjamin White,England,
80,Georginio Wijnaldum,Netherlands,
80,Nicolò Zaniolo,Italy,
80,Oleksandr Zinchenko,Ukraine,
80,Hakim Ziyech,Morocco,
80,Zubeldia,Spain,
80,Zubimendi,Spain,
80,Nicole Anyomi,Germany,
80,Viviane Asseyi,France,
80,Leire Baños,Spain,
80,Laura Benkarth,Germany,
80,Kessya Bussy,France,
80,Deyna Castellanos,Venezuela,
80,Niamh Charles,England,
80,Antônia Silva,Brazil,
80,Marine Dafeur,Algeria,
80,Abby Dahlkemper,United States,
80,Tierna Davidson,United States,
80,Tainara,Brazil,
80,Océane Deslandes,France,
80,Jessie Fleming,Canada,
80,Lola Gallardo,Spain,
80,Maëlle Garbino,France,
80,Lucía García,Spain,
80,Naomi Girma,United States,
80,Didi Haračić,Bosnia and Herzegovina,
80,Sophie Ingle,Wales,
